#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = 水
graphite                                          (tconstruct:molten_graphite)                                                     = 石墨
graphene                                          (tconstruct:molten_graphene)                                                     = 石墨烯
blaze                                             ([no block])                                                                     = 烈焰
sterling_silver                                   (tconstruct:molten_sterling_silver)                                              = 标准纯银
rose_gold                                         (tconstruct:molten_rose_gold)                                                    = 玫瑰金
black_bronze                                      (tconstruct:molten_black_bronze)                                                 = 黑青铜
bismuth_bronze                                    (tconstruct:molten_bismuth_bronze)                                               = 铋青铜
black_steel                                       (tconstruct:molten_black_steel)                                                  = 黑钢
red_steel                                         (tconstruct:molten_red_steel)                                                    = 红钢
blue_steel                                        (tconstruct:molten_blue_steel)                                                   = 蓝钢
damascus_steel                                    (tconstruct:molten_damascus_steel)                                               = 大马士革钢
tungsten_steel                                    (tconstruct:molten_tungsten_steel)                                               = 钨钢
nitro_fuel                                        ([no block])                                                                     = 高十六烷值柴油
red_alloy                                         (tconstruct:molten_red_alloy)                                                    = 充能铜
cobalt_brass                                      (tconstruct:molten_cobalt_brass)                                                 = 钴黄铜
concrete                                          (immersiveengineering:fluidconcrete)                                             = 混凝土
iron_magnetic                                     (tconstruct:molten_iron_magnetic)                                                = 磁铁
steel_magnetic                                    (tconstruct:molten_steel_magnetic)                                               = 磁化钢
neodymium_magnetic                                (tconstruct:molten_neodymium_magnetic)                                           = 磁化钕
tungsten_carbide                                  (tconstruct:molten_tungsten_carbide)                                             = 碳化钨
vanadium_steel                                    (tconstruct:molten_vanadium_steel)                                               = 钒钢
hssg                                              (tconstruct:molten_hssg)                                                         = 高速钢-G
hsse                                              (tconstruct:molten_hsse)                                                         = 高速钢-E
hsss                                              (tconstruct:molten_hsss)                                                         = 高速钢-S
uuamplifier                                       ([no block])                                                                     = UU增幅液体
uumatter                                          ([no block])                                                                     = UU物质
naquadah                                          (tconstruct:molten_naquadah)                                                     = 硅岩
naquadah_alloy                                    (tconstruct:molten_naquadah_alloy)                                               = 硅岩合金
naquadah_enriched                                 (tconstruct:molten_naquadah_enriched)                                            = 富集硅岩
naquadria                                         (tconstruct:molten_naquadria)                                                    = 超能硅岩
tritanium                                         (tconstruct:molten_tritanium)                                                    = 三钛合金
duranium                                          (tconstruct:molten_duranium)                                                     = 铿铀
bio_diesel                                        ([no block])                                                                     = 生物柴油
fuel                                              ([no block])                                                                     = 柴油
glue                                              ([no block])                                                                     = 胶水
lubricant                                         ([no block])                                                                     = 润滑油
mc_guffium239                                     ([no block])                                                                     = 麦高芬 239
oil                                               ([no block])                                                                     = 石油
construction_foam                                 ([no block])                                                                     = 建筑泡沫
drilling_fluid                                    ([no block])                                                                     = 钻井液
epichlorhydrin                                    ([no block])                                                                     = 环氧氯丙烷
toluene                                           ([no block])                                                                     = 甲苯
nitric_acid                                       ([no block])                                                                     = 硝酸
nitration_mixture                                 ([no block])                                                                     = 硝酸混酸
ytterbium                                         (tconstruct:molten_ytterbium)                                                    = 镱
borosilicate_glass                                (tconstruct:molten_borosilicate_glass)                                           = 硼硅玻璃
vinyl_chloride                                    ([no block])                                                                     = 氯乙烯
ethylene                                          ([no block])                                                                     = 乙烯
benzene                                           ([no block])                                                                     = 苯
wood_gas                                          ([no block])                                                                     = 木炭气
wood_vinegar                                      ([no block])                                                                     = 木醋酸
wood_tar                                          ([no block])                                                                     = 木焦油
acetone                                           ([no block])                                                                     = 丙酮
sulfur_trioxide                                   ([no block])                                                                     = 三氧化硫
sulfur_dioxide                                    ([no block])                                                                     = 二氧化硫
glycerol                                          ([no block])                                                                     = 甘油
methanol                                          ([no block])                                                                     = 甲醇
carbon_monoxide                                   ([no block])                                                                     = 一氧化碳
diluted_sulfuric_acid                             ([no block])                                                                     = 稀硫酸
chloroform                                        ([no block])                                                                     = 氯仿
diluted_hydrochloric_acid                         ([no block])                                                                     = 稀盐酸
hypochlorous_acid                                 ([no block])                                                                     = 次氯酸
ammonia                                           ([no block])                                                                     = 氨
chloramine                                        ([no block])                                                                     = 氯胺
dimethylamine                                     ([no block])                                                                     = 二甲胺
dimethylhidrazine                                 ([no block])                                                                     = 偏二甲肼
dinitrogen_tetroxide                              ([no block])                                                                     = 四氧化二氮
silicon_rubber                                    (tconstruct:molten_silicon_rubber)                                               = 硅橡胶
dimethyldichlorosilane                            ([no block])                                                                     = 二甲基氯硅烷
styrene                                           ([no block])                                                                     = 苯乙烯
polystyrene                                       (tconstruct:molten_polystyrene)                                                  = 聚苯乙烯
butadiene                                         ([no block])                                                                     = 丁二烯
styrene_butadiene_rubber                          (tconstruct:molten_styrene_butadiene_rubber)                                     = 丁苯橡胶
dichlorobenzene                                   ([no block])                                                                     = 对二氯苯
hydrochloric_acid                                 ([no block])                                                                     = 氢氯酸
acetic_acid                                       ([no block])                                                                     = 乙酸
hydrofluoric_acid                                 ([no block])                                                                     = 氢氟酸
nitric_oxide                                      ([no block])                                                                     = 一氧化氮
methyl_acetate                                    ([no block])                                                                     = 乙酸甲酯
ethenone                                          ([no block])                                                                     = 乙烯酮
tetranitromethane                                 ([no block])                                                                     = 四硝基甲烷
vinyl_acetate                                     ([no block])                                                                     = 乙酸乙烯酯
gallium_arsenide                                  (tconstruct:molten_gallium_arsenide)                                             = 砷化镓
polyphenylene_sulfide                             (tconstruct:molten_polyphenylene_sulfide)                                        = 聚苯硫醚
nickel_sulfate_water_solution                     ([no block])                                                                     = 硫酸镍溶液
blue_vitriol_water_solution                       ([no block])                                                                     = 蓝矾溶液
propane                                           ([no block])                                                                     = 丙烷
propene                                           ([no block])                                                                     = 丙烯
ethane                                            ([no block])                                                                     = 乙烷
butene                                            ([no block])                                                                     = 丁烯
butane                                            ([no block])                                                                     = 丁烷
calcium_acetate                                   ([no block])                                                                     = 乙酸钙溶液
cumene                                            ([no block])                                                                     = 异丙苯
indium_gallium_phosphide                          (tconstruct:molten_indium_gallium_phosphide)                                     = 磷化铟镓
nickel_zinc_ferrite                               (tconstruct:molten_nickel_zinc_ferrite)                                          = 镍锌铁氧体
indium_concentrate                                ([no block])                                                                     = 铟富集溶液
lead_zinc_solution                                ([no block])                                                                     = 铅锌溶液
tetrafluoroethylene                               ([no block])                                                                     = 四氟乙烯
salt_water                                        ([no block])                                                                     = 盐水
hydrocracked_ethane                               ([no block])                                                                     = 加氢裂化的乙烷
hydrocracked_ethylene                             ([no block])                                                                     = 加氢裂化的乙烯
hydrocracked_propene                              ([no block])                                                                     = 加氢裂化的丙烯
hydrocracked_propane                              ([no block])                                                                     = 加氢裂化的丙烷
hydrocracked_light_fuel                           ([no block])                                                                     = 加氢裂化的轻燃油
hydrocracked_butane                               ([no block])                                                                     = 加氢裂化的丁烷
hydrocracked_naphtha                              ([no block])                                                                     = 加氢裂化的石脑油
hydrocracked_heavy_fuel                           ([no block])                                                                     = 加氢裂化的重燃油
hydrocracked_gas                                  ([no block])                                                                     = 加氢裂化的炼油气
hydrocracked_butene                               ([no block])                                                                     = 加氢裂化的丁烯
hydrocracked_butadiene                            ([no block])                                                                     = 加氢裂化的丁二烯
steamcracked_ethane                               ([no block])                                                                     = 蒸汽裂化的乙烷
steamcracked_ethylene                             ([no block])                                                                     = 蒸汽裂化的乙烯
steamcracked_propene                              ([no block])                                                                     = 蒸汽裂化的丙烯
steamcracked_propane                              ([no block])                                                                     = 蒸汽裂化的丙烷
steamcracked_butane                               ([no block])                                                                     = 蒸汽裂化的丁烷
steamcracked_naphtha                              ([no block])                                                                     = 蒸汽裂化的石脑油
steamcracked_gas                                  ([no block])                                                                     = 蒸汽裂化的炼油气
steamcracked_butene                               ([no block])                                                                     = 蒸汽裂化的丁烯
steamcracked_butadiene                            ([no block])                                                                     = 蒸汽裂化的丁二烯
chloromethane                                     ([no block])                                                                     = 氯甲烷
allyl_chloride                                    ([no block])                                                                     = 烯丙基氯
isoprene                                          ([no block])                                                                     = 异戊二烯
charcoal_byproducts                               ([no block])                                                                     = 木炭副产
cracked_light_fuel                                ([no block])                                                                     = 蒸汽裂化的轻燃油
cracked_heavy_fuel                                ([no block])                                                                     = 蒸汽裂化的重燃油
phosphoric_acid                                   ([no block])                                                                     = 磷酸
phenol                                            ([no block])                                                                     = 苯酚
bisphenol_a                                       ([no block])                                                                     = 双酚A
reinforced_epoxy_resin                            (tconstruct:molten_reinforced_epoxy_resin)                                       = 纤维强化的环氧树脂
polyvinyl_acetate                                 ([no block])                                                                     = 聚乙酸乙烯酯
fermented_biomass                                 ([no block])                                                                     = 发酵过的生物质
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = 火箭燃料
cosmic_neutronium                                 (tconstruct:molten_cosmic_neutronium)                                            = 宇宙中子素
periodicium                                       (tconstruct:molten_periodicium)                                                  = 錭錤錶
qcd_confined_matter                               (tconstruct:molten_qcd_confined_matter)                                          = 量子色动力学封闭物质
superheavy_l_alloy                                (tconstruct:molten_superheavy_l_alloy)                                           = 超重元素-轻合金
superheavy_h_alloy                                (tconstruct:molten_superheavy_h_alloy)                                           = 超重元素-重合金
meitnerium                                        (tconstruct:molten_meitnerium)                                                   = 钅麦
roentgenium                                       (tconstruct:molten_roentgenium)                                                  = 钅仑
nihonium                                          (tconstruct:molten_nihonium)                                                     = 钅尔
moscovium                                         (tconstruct:molten_moscovium)                                                    = 镆
livermorium                                       (tconstruct:molten_livermorium)                                                  = 鉝
tennessine                                        (tconstruct:molten_tennessine)                                                   = 石田
heavy_quark_degenerate_matter                     (tconstruct:molten_heavy_quark_degenerate_matter)                                = 重夸克简并物质
metastable_hassium                                (tconstruct:molten_metastable_hassium)                                           = 亚稳态钅黑
lithium_niobate                                   (tconstruct:molten_lithium_niobate)                                              = 铌酸锂
lutm_yvo                                          ([no block])                                                                     = 掺镥铥的钒酸钇
prho_ylf                                          ([no block])                                                                     = 掺镨钬的氟化锂钇
nd_yag                                            ([no block])                                                                     = 掺钕的钇铝石榴石
germanium_tungsten_nitride                        (tconstruct:molten_germanium_tungsten_nitride)                                   = 锗-钨氮化物
ruthenium_dioxide                                 (tconstruct:molten_ruthenium_dioxide)                                            = 二氧化钌
pedot                                             (tconstruct:molten_pedot)                                                        = PEDOT
bismuth_iridiate                                  (tconstruct:molten_bismuth_iridiate)                                             = 铱酸铋
bismuth_ruthenate                                 (tconstruct:molten_bismuth_ruthenate)                                            = 钌酸铋
tantalum_hafnium_seaborgium_carbide               (tconstruct:molten_tantalum_hafnium_seaborgium_carbide)                          = 钽-铪-?碳化物
barium_titanate                                   (tconstruct:molten_barium_titanate)                                              = 钛酸钡
woods_glass                                       (tconstruct:molten_woods_glass)                                                  = 伍兹玻璃
thoria_doped_tungsten                             (tconstruct:molten_thoria_doped_tungsten)                                        = 氧化钍掺杂钨
polyurethane                                      (tconstruct:molten_polyurethane)                                                 = 聚氨基甲酸酯
electrically_impure_copper                        (tconstruct:molten_electrically_impure_copper)                                   = 含杂电解铜
metastable_flerovium                              (tconstruct:molten_metastable_flerovium)                                         = 亚稳态?
metastable_oganesson                              (tconstruct:molten_metastable_oganesson)                                         = 亚稳态?
titanium50                                        (tconstruct:molten_titanium50)                                                   = 钛-50
carbon_nanotubes                                  (tconstruct:molten_carbon_nanotubes)                                             = 碳纳米管
lithium_titanate                                  (tconstruct:molten_lithium_titanate)                                             = 钛酸锂
iodized_oil                                       ([no block])                                                                     = 含碘油
taranium                                          (tconstruct:molten_taranium)                                                     = 塔兰金属
trinium_titanium                                  (tconstruct:molten_trinium_titanium)                                             = 三元钛合金
proto_adamantium                                  (tconstruct:molten_proto_adamantium)                                             = 原始精金
vibranium                                         (tconstruct:molten_vibranium)                                                    = 振金
adamantium                                        (tconstruct:molten_adamantium)                                                   = 精金
trinium                                           (tconstruct:molten_trinium)                                                      = 三元金属
hdcs                                              (tconstruct:molten_hdcs)                                                         = 高强度复合钢
cinobite                                          (tconstruct:molten_cinobite)                                                     = 西诺柏
uxv_superconductor                                (tconstruct:molten_uxv_superconductor)                                           = UXV超导体
uxv_superconductor_base                           (tconstruct:molten_uxv_superconductor_base)                                      = UXV超导基
umv_superconductor                                (tconstruct:molten_umv_superconductor)                                           = UMV超导体
umv_superconductor_base                           (tconstruct:molten_umv_superconductor_base)                                      = UMV超导基
uiv_superconductor                                (tconstruct:molten_uiv_superconductor)                                           = UIV超导体
uiv_superconductor_base                           (tconstruct:molten_uiv_superconductor_base)                                      = UIV超导基
fullerene_polymer_matrix                          (tconstruct:molten_fullerene_polymer_matrix)                                     = 富勒烯聚合物基体
zylon                                             (tconstruct:molten_zylon)                                                        = 柴隆纤维
polyetheretherketone                              (tconstruct:molten_polyetheretherketone)                                         = 聚醚醚酮
hastelloy_k243                                    (tconstruct:molten_hastelloy_k243)                                               = 哈斯特洛依合金-K243
hastelloy_x78                                     (tconstruct:molten_hastelloy_x78)                                                = 哈斯特洛依合金-X78
enriched_naquadah_alloy                           (tconstruct:molten_enriched_naquadah_alloy)                                      = 富集硅岩合金
incoloy813                                        (tconstruct:molten_incoloy813)                                                   = 耐热铬铁合金-813
bohrium                                           (tconstruct:molten_bohrium)                                                      = ?
seaborgium                                        (tconstruct:molten_seaborgium)                                                   = ?
uev_superconductor                                (tconstruct:molten_uev_superconductor)                                           = UEV超导体
uev_superconductor_base                           (tconstruct:molten_uev_superconductor_base)                                      = UEV超导基
uhv_superconductor                                (tconstruct:molten_uhv_superconductor)                                           = UHV超导体
uhv_superconductor_base                           (tconstruct:molten_uhv_superconductor_base)                                      = UHV超导基
reactor_steel                                     (tconstruct:molten_reactor_steel)                                                = 反应堆专用钒钢
dubnium                                           (tconstruct:molten_dubnium)                                                      = ?
rutherfordium                                     (tconstruct:molten_rutherfordium)                                                = ?
uv_superconductor                                 (tconstruct:molten_uv_superconductor)                                            = UV超导体
uv_superconductor_base                            (tconstruct:molten_uv_superconductor_base)                                       = UV超导基
sodium_tungstate                                  ([no block])                                                                     = 钨酸钠
abyssal_alloy                                     (tconstruct:molten_abyssal_alloy)                                                = 渊狱合金
astatine                                          (tconstruct:molten_astatine)                                                     = 砹
bromine                                           ([no block])                                                                     = 溴
selenium                                          (tconstruct:molten_selenium)                                                     = 硒
germanium                                         (tconstruct:molten_germanium)                                                    = 锗
thalium                                           (tconstruct:molten_thalium)                                                      = 铊
technetium                                        (tconstruct:molten_technetium)                                                   = 锝
rhenium                                           (tconstruct:molten_rhenium)                                                      = 铼
hafnium                                           (tconstruct:molten_hafnium)                                                      = 铪
actinium                                          (tconstruct:molten_actinium)                                                     = 锕
radium                                            (tconstruct:molten_radium)                                                       = 镭
francium                                          (tconstruct:molten_francium)                                                     = 钫
lead_bismuth_eutatic                              (tconstruct:molten_lead_bismuth_eutatic)                                         = 共晶铅铋
flibe                                             ([no block])                                                                     = 氟锂铍混合物
beryllium_fluoride                                (tconstruct:molten_beryllium_fluoride)                                           = 氟化铍
flinak                                            ([no block])                                                                     = 氟锂钠钾混合物
lithium_fluoride                                  (tconstruct:molten_lithium_fluoride)                                             = 氟化锂
naquadriatic_taranium                             (tconstruct:molten_naquadriatic_taranium)                                        = 硅岩瑞亚-塔兰金属合金
sodium_potassium_alloy                            ([no block])                                                                     = 钠钾合金
mendelevium263                                    (tconstruct:molten_mendelevium263)                                               = 钔-263
mendelevium261                                    (tconstruct:molten_mendelevium261)                                               = 钔-261
mendelevium259                                    (tconstruct:molten_mendelevium259)                                               = 钔-259
mendelevium                                       (tconstruct:molten_mendelevium)                                                  = 钔
fermium263                                        (tconstruct:molten_fermium263)                                                   = 镄-263
fermium262                                        (tconstruct:molten_fermium262)                                                   = 镄-262
fermium259                                        (tconstruct:molten_fermium259)                                                   = 镄-259
fermium258                                        (tconstruct:molten_fermium258)                                                   = 镄-258
fermium257                                        (tconstruct:molten_fermium257)                                                   = 镄-257
fermium                                           (tconstruct:molten_fermium)                                                      = 镄
einsteinium257                                    (tconstruct:molten_einsteinium257)                                               = 锿-257
einsteinium255                                    (tconstruct:molten_einsteinium255)                                               = 锿-255
einsteinium253                                    (tconstruct:molten_einsteinium253)                                               = 锿-253
einsteinium                                       (tconstruct:molten_einsteinium)                                                  = 锿
californium257                                    (tconstruct:molten_californium257)                                               = 锎-257
californium256                                    (tconstruct:molten_californium256)                                               = 锎-256
californium253                                    (tconstruct:molten_californium253)                                               = 锎-253
californium252                                    (tconstruct:molten_californium252)                                               = 锎-252
californium251                                    (tconstruct:molten_californium251)                                               = 锎-251
californium                                       (tconstruct:molten_californium)                                                  = 锎
berkelium251                                      (tconstruct:molten_berkelium251)                                                 = 锫-251
berkelium249                                      (tconstruct:molten_berkelium249)                                                 = 锫-249
berkelium247                                      (tconstruct:molten_berkelium247)                                                 = 锫-247
berkelium                                         (tconstruct:molten_berkelium)                                                    = 锫
curium251                                         (tconstruct:molten_curium251)                                                    = 锔-251
curium250                                         (tconstruct:molten_curium250)                                                    = 锔-250
curium247                                         (tconstruct:molten_curium247)                                                    = 锔-247
curium246                                         (tconstruct:molten_curium246)                                                    = 锔-246
curium245                                         (tconstruct:molten_curium245)                                                    = 锔-245
curium                                            (tconstruct:molten_curium)                                                       = 锔
americium245                                      (tconstruct:molten_americium245)                                                 = 镅-245
americium243                                      (tconstruct:molten_americium243)                                                 = 镅-243
americium241                                      (tconstruct:molten_americium241)                                                 = 镅-241
plutonium_radioactive245                          (tconstruct:molten_plutonium_radioactive245)                                     = 钚-245
plutonium_radioactive240                          (tconstruct:molten_plutonium_radioactive240)                                     = 钚-240
plutonium_radioactive239                          (tconstruct:molten_plutonium_radioactive239)                                     = 钚-239
plutonium_radioactive                             (tconstruct:molten_plutonium_radioactive)                                        = 钚
neptunium239                                      (tconstruct:molten_neptunium239)                                                 = 镎-239
neptunium237                                      (tconstruct:molten_neptunium237)                                                 = 镎-237
neptunium235                                      (tconstruct:molten_neptunium235)                                                 = 镎-235
neptunium                                         (tconstruct:molten_neptunium)                                                    = 镎
uranium_radioactive239                            (tconstruct:molten_uranium_radioactive239)                                       = 铀-239
uranium_radioactive234                            (tconstruct:molten_uranium_radioactive234)                                       = 铀-234
uranium_radioactive233                            (tconstruct:molten_uranium_radioactive233)                                       = 铀-233
uranium_radioactive                               (tconstruct:molten_uranium_radioactive)                                          = 铀
protactinium233                                   (tconstruct:molten_protactinium233)                                              = 镤-233
protactinium                                      (tconstruct:molten_protactinium)                                                 = 镤
thorium233                                        (tconstruct:molten_thorium233)                                                   = 钍-233
precious_metal                                    (tconstruct:molten_precious_metal)                                               = 贵金属
gold_alloy                                        (tconstruct:molten_gold_alloy)                                                   = 金合金
chloroauric_acid                                  ([no block])                                                                     = 氯金酸
precious_leach_nitrate                            ([no block])                                                                     = 贵金属硝酸盐浸出物
copper_leach                                      (gregtech:fluid.copper_leach)                                                    = 铜浸出物
copernicium                                       (gregtech:fluid.copernicium)                                                     = 鎶
polonium                                          (tconstruct:molten_polonium)                                                     = 钋
chlorobenzene                                     ([no block])                                                                     = 氯苯
polybenzimidazole                                 (tconstruct:molten_polybenzimidazole)                                            = 聚苯并咪唑
diphenylisophtalate                               ([no block])                                                                     = 间苯二甲酸二苯酯
diaminobenzidine                                  ([no block])                                                                     = 二氨基联苯胺
dichlorobenzidine                                 ([no block])                                                                     = 二氯联苯胺
dimethylbenzene                                   ([no block])                                                                     = 二甲苯
nitrochlorobenzene                                ([no block])                                                                     = 硝基氯苯
zeron                                             (tconstruct:molten_zeron)                                                        = 赛龙-100
lafium                                            (tconstruct:molten_lafium)                                                       = 路菲恩
pikyonium                                         (tconstruct:molten_pikyonium)                                                    = 皮卡优合金
inconel_b                                         (tconstruct:molten_inconel_b)                                                    = 镍铬基合金-792
titan_steel                                       (tconstruct:molten_titan_steel)                                                  = 泰坦钢
tungsten_titanium_carbide                         (tconstruct:molten_tungsten_titanium_carbide)                                    = 碳化钨钛合金
black_titanium                                    (tconstruct:molten_black_titanium)                                               = 黑钛合金
quantum                                           (tconstruct:molten_quantum)                                                      = 量子合金
ruridit                                           (tconstruct:molten_ruridit)                                                      = 钌铱合金
rhodium_plated_palladium                          (tconstruct:molten_rhodium_plated_palladium)                                     = 镀铑钯
rhodium_filter_cake_solution                      ([no block])                                                                     = 铑滤饼溶液
rhodium_salt_solution                             ([no block])                                                                     = 铑盐溶液
rhodium                                           (tconstruct:molten_rhodium)                                                      = 铑
acidic_iridium_solution                           ([no block])                                                                     = 酸性铱溶液
osmium_solution                                   ([no block])                                                                     = 锇溶液
iridium_dioxide                                   ([no block])                                                                     = 二氧化铱
acidic_osmium_solution                            ([no block])                                                                     = 酸性锇溶液
ruthenium_tetroxide_solution                      ([no block])                                                                     = 四氧化钌溶液
hot_ruthenium_tetroxide_solution                  ([no block])                                                                     = 热四氧化钌溶液
ruthenium_tetroxide                               (gregtech:fluid.ruthenium_tetroxide)                                             = 四氧化钌
ruthenium                                         (tconstruct:molten_ruthenium)                                                    = 钌
rhodium_sulfate_solution                          ([no block])                                                                     = 硫酸铑溶液
rhodium_sulfate                                   ([no block])                                                                     = 硫酸铑
potassium_disulfate                               ([no block])                                                                     = 焦硫酸钾
formic_acid                                       ([no block])                                                                     = 甲酸
sodium_formate                                    ([no block])                                                                     = 甲酸钠
palladium_enriched_ammonia                        ([no block])                                                                     = 富钯氨
ammonium_chloride                                 ([no block])                                                                     = 氯化铵
aqua_regia                                        ([no block])                                                                     = 王水
platinum_concentrate                              ([no block])                                                                     = 浓缩铂
zirconium_carbide                                 (tconstruct:molten_zirconium_carbide)                                            = 碳化锆
