Mod:Item:MetaData, Localized Name
chinjufumod:block_food_curryset_1, 咖喱饭配菜套餐
chinjufumod:block_food_stew_1, 奶油炖鸡
chinjufumod:block_food_udonsu_1, 乌冬面
chinjufumod:block_food_udonniku_1, 牛肉乌冬面
chinjufumod:block_food_udontsukimi_1, 月见乌冬面
chinjufumod:block_food_tonsui_1, 碗装味噌鸡肉汤
chinjufumod:block_food_misosp_1, 味噌汤
chinjufumod:block_food_gohan_1, 碗装米饭
chinjufumod:block_food_rice_1, 碟装米饭
chinjufumod:block_food_tgy_1, Plate with omelet
chinjufumod:block_food_tgytei_1, 日式蛋卷套餐
chinjufumod:block_food_yakizakanatei_1, 烤鱼套餐
chinjufumod:block_food_yakijyaketei_1, 烤三文鱼套餐
chinjufumod:block_food_hsd_1, 咸白菜
chinjufumod:block_food_cornsp_1, 玉米浓汤
chinjufumod:block_food_egb_1, 碟裝煎鸡蛋汉堡
chinjufumod:block_food_egbset_1, 煎鸡蛋汉堡套餐
chinjufumod:block_food_pastatoma_1, 番茄酱义大利面
chinjufumod:block_food_pastacheese_1, 芝士酱义大利面
chinjufumod:block_food_pastakinoko_1, 蘑菇义大利面
chinjufumod:block_food_pizza_1, 烤披萨
chinjufumod:block_food_roastchicken_1, 烤全鸡
chinjufumod:block_food_chickenb_1, 碟裝烤鸡
chinjufumod:block_food_donmeshi_1, 大碗米饭
chinjufumod:block_food_dongyu_1, 日式牛肉饭
chinjufumod:block_food_donoyako_1, 鸡和蛋饭
chinjufumod:block_food_donkatsu_1, 日式炸猪排盖饭
chinjufumod:block_food_sushimeshi, 寿司饭
chinjufumod:block_food_sushigeta_kara, 寿司木制板
chinjufumod:block_food_sushiset_salmon, 寿司套_三文鱼
chinjufumod:block_food_sushiset_fish, 寿司套_鱼
chinjufumod:block_food_sushiset_beef, 寿司套_牛肉
chinjufumod:block_food_sushiset_tamago, 寿司套_日式蛋卷
chinjufumod:block_food_sushiset_4shoku, 寿司套
chinjufumod:block_food_sushioke_kara, 寿司桶
chinjufumod:block_food_sushiokefull_1, 寿司拼盘
chinjufumod:block_food_shouyusara_1, 酱油菜
chinjufumod:item_kettles_kara, 空水壶
chinjufumod:block_kettle_full, 水壶_生水
chinjufumod:item_kettles_boil, 热水壶
chinjufumod:block_food_kyusu_k, 日式茶壶
chinjufumod:block_food_kyusu_1, 日式茶壶_绿茶
chinjufumod:block_food_jpteacup_1, 日式绿茶
chinjufumod:block_food_jpteaset_1, 绿茶配米饼干
chinjufumod:block_food_jpchauke:0, 盘子上的米饼干
chinjufumod:block_food_jpchauke:1, 盘子上的蜜柑
chinjufumod:block_food_jpchauke:2, 盘子上的司康饼
chinjufumod:block_food_teapot_k, 英式茶壶
chinjufumod:block_food_teapot_1, 英式茶壶_红茶
chinjufumod:block_food_teacup_1, 英式红茶
chinjufumod:block_food_teaset_1, 下午茶组合
chinjufumod:block_food_teastand, 下午茶点心架
chinjufumod:block_food_sconeset_1, 下午茶糕点组合
chinjufumod:block_food_icecream_1, 牛奶冰淇淋
chinjufumod:block_kakigouri_block1, 刨冰
chinjufumod:block_kakigouri_pink1, 刨冰_樱桃
chinjufumod:block_kakigouri_red1, 刨冰_葡萄
chinjufumod:block_kakigouri_yellow1, 刨冰_苹果
chinjufumod:block_kakigouri_green1, 刨冰_绿茶
chinjufumod:block_zundou_aku, 深底锅_碱性溶液
chinjufumod:block_bot_sakenama_1, 生酒
chinjufumod:block_bot_sake_1, 清酒
chinjufumod:block_bot_sakejuku_1, 熟成酒
chinjufumod:block_food_nabeaz_n, 土锅_放入酒糟
chinjufumod:block_food_nabeaz_1, 土锅_烧甜酒
chinjufumod:block_bot_cider_1, 苹果酒
chinjufumod:block_bot_ciderjuku_1, 成熟的苹果酒
chinjufumod:block_bot_wine_1, 葡萄酒
chinjufumod:block_bot_winejuku_1, 成熟的葡萄酒
chinjufumod:block_glass_sake:1, 一杯生酒
chinjufumod:block_glass_sake:2, 一杯清酒
chinjufumod:block_glass_sake:3, 一杯熟成酒
chinjufumod:block_glass_sake:4, 一杯甜酒
chinjufumod:block_glass_wine:1, 一杯葡萄酒
chinjufumod:block_glass_wine:2, 一杯成熟的葡萄酒
chinjufumod:block_glass_wine:3, 一杯苹果酒
chinjufumod:block_glass_wine:4, 一杯成熟的苹果酒
chinjufumod:block_bin_koubo_f, 酵母培养瓶
chinjufumod:item_koubo, 酵母
chinjufumod:block_bin_nyusan_f, 乳酸菌培养瓶
chinjufumod:item_nyusan, 乳酸菌
chinjufumod:block_food_cheesecurd, 凝乳
chinjufumod:block_food_cheese_1, 奶酪
chinjufumod:block_shouyu_bot, 酱油
chinjufumod:block_shouyu_bot_2, 酱油
chinjufumod:block_shouyu_bot_3, 酱油
chinjufumod:block_shouyu_bot_4, 酱油
chinjufumod:block_komezu_bot, 米醋
chinjufumod:block_komezu_bot_2, 米醋
chinjufumod:block_dashi_bot, 日式上湯粉
chinjufumod:block_dashi_bot_2, 日式上湯粉
chinjufumod:block_dashi_bot_3, 日式上湯粉
chinjufumod:block_dashi_bot_4, 日式上湯粉
chinjufumod:block_taru_hakkou:0, 发酵桶
chinjufumod:block_taru_hakkou:1, 米曲架子
chinjufumod:block_taru_hakkou:2, 酒母桶
chinjufumod:block_taru_hakkou:3, 生酒桶
chinjufumod:block_taru_hakkou:4, 熟成酒桶
chinjufumod:block_taru_hakkou:5, 味噌桶
chinjufumod:block_taru_hakkou:6, 茶叶氧化碟
chinjufumod:block_taru_hakusai_f:1, 白菜桶 第一阶段
chinjufumod:block_taru_hakusai_f:2, 白菜桶 第二阶段
chinjufumod:block_taru_hakkou_2:1, 酱油桶
chinjufumod:block_taru_hakkou_2:2, 米醋桶
chinjufumod:block_taru_hakkou_2:3, 蘑菇架子
draconicadditions:inert_potato_helm, 惰性马铃薯头盔
draconicadditions:inert_potato_chest, 惰性马铃薯胸甲
draconicadditions:inert_potato_legs, 惰性马铃薯护腿
draconicadditions:inert_potato_boots, 惰性马铃薯靴子
draconicadditions:chaotic_energy_core, 混沌龙能量核心
draconicadditions:chaos_stabilizer_core, 混沌稳定核心
draconicadditions:armor_generator, 装甲发电机
draconicadditions:chaotic_armor_generator, 混沌装甲发电机
draconicadditions:item_drainer, 物品能量抽取机
draconicadditions:chaos_liquefier, 混沌液化机
draconicadditions:capacitor_supplier, Capacitor Supplier
draconicadditions:chaotic_staff_of_power, 混沌龙之力权杖
draconicadditions:chaos_container, 混沌容器
draconicadditions:portable_wired_charger:0, 基础携带式无线充能器
draconicadditions:portable_wired_charger:1, 双足飞龙携带式无线充能器
draconicadditions:portable_wired_charger:2, 神龙携带式无线充能器
draconicadditions:portable_wired_charger:3, 混沌携带式无线充能器
draconicadditions:infused_potato_helm, 充能马铃薯头盔
draconicadditions:infused_potato_chest, 充能马铃薯胸甲
draconicadditions:infused_potato_legs, 充能马铃薯护腿
draconicadditions:infused_potato_boots, 充能马铃薯靴子
draconicadditions:potato_helm, 活力马铃薯头盔
draconicadditions:potato_chest, 活力马铃薯胸甲
draconicadditions:potato_legs, 活力马铃薯护腿
draconicadditions:potato_boots, 活力马铃薯靴子
draconicadditions:chaotic_helm, 混沌龙头盔
draconicadditions:chaotic_chest, 混沌龙胸甲
draconicadditions:chaotic_legs, 混沌龙护腿
draconicadditions:chaotic_boots, 混沌龙靴子
draconicadditions:basic_shield_necklace, 基础屏蔽项链
draconicadditions:wyvern_shield_necklace, 双足飞龙屏蔽项链
draconicadditions:draconic_shield_necklace, 神龙屏蔽项链
draconicadditions:overload_belt, 神龙重载腰带
draconicadditions:vampiric_shirt, 神龙虹吸背心
draconicadditions:inertia_cancel_ring, 惯性抵消指环
thermalcultivation:watering_can:0, 洒水壶（基础）
thermalcultivation:watering_can:1, 洒水壶（硬化）
thermalcultivation:watering_can:2, 洒水壶（强化）
thermalcultivation:watering_can:3, 洒水壶（信素）
thermalcultivation:watering_can:4, 洒水壶（谐振）
thermalcultivation:watering_can:32000, 洒水壶（创造）
thermaldynamics:duct_0:0, 铅石能量管道
thermaldynamics:duct_0:1, 硬化能量管道
thermaldynamics:duct_0:2, 红石能量管道
thermaldynamics:duct_0:3, 信素能量管道
thermaldynamics:duct_0:4, 谐振能量管道
thermaldynamics:duct_0:5, 凛冰固化能量管道
thermaldynamics:duct_0:6, 红石能量管道（空）
thermaldynamics:duct_0:7, 信素能量管道（空）
thermaldynamics:duct_0:8, 谐振能量管道（空）
thermaldynamics:duct_0:9, 凛冰固化能量管道（空）
thermaldynamics:duct_16:0, 约束流体管道
thermaldynamics:duct_16:1, 不透明约束流体管道
thermaldynamics:duct_16:2, 硬化流体管道
thermaldynamics:duct_16:3, 不透明硬化流体管道
thermaldynamics:duct_16:4, 信素流体管道
thermaldynamics:duct_16:5, 不透明信素流体管道
thermaldynamics:duct_16:6, 极速层流流体管道
thermaldynamics:duct_16:7, 不透明极速层流流体管道
thermaldynamics:duct_32:0, 真空基础物品管道
thermaldynamics:duct_32:0, 致密基础物品管道
thermaldynamics:duct_32:0, 基础物品管道
thermaldynamics:duct_32:1, 真空不透明基础物品管道
thermaldynamics:duct_32:1, 致密不透明基础物品管道
thermaldynamics:duct_32:1, 不透明基础物品管道
thermaldynamics:duct_32:2, 真空动能物品管道
thermaldynamics:duct_32:2, 致密动能物品管道
thermaldynamics:duct_32:2, 动能物品管道
thermaldynamics:duct_32:3, 真空不透明动能物品管道
thermaldynamics:duct_32:3, 致密不透明动能物品管道
thermaldynamics:duct_32:3, 不透明动能物品管道
thermaldynamics:duct_32:4, 真空信素物品管道
thermaldynamics:duct_32:4, 致密信素物品管道
thermaldynamics:duct_32:4, 信素物品管道
thermaldynamics:duct_32:5, 真空不透明信素物品管道
thermaldynamics:duct_32:5, 致密不透明信素物品管道
thermaldynamics:duct_32:5, 不透明信素物品管道
thermaldynamics:duct_32:6, 真空信素推进物品管道
thermaldynamics:duct_32:6, 致密信素推进物品管道
thermaldynamics:duct_32:6, 信素推进物品管道
thermaldynamics:duct_32:7, 真空不透明信素推进物品管道
thermaldynamics:duct_32:7, 致密不透明信素推进物品管道
thermaldynamics:duct_32:7, 不透明信素推进物品管道
thermaldynamics:duct_48:0, 结构管道
thermaldynamics:duct_64:0, 旅行管道
thermaldynamics:duct_64:1, 远程旅行管道
thermaldynamics:duct_64:2, 远程连接旅行管道
thermaldynamics:duct_64:3, 旅行管道（未处理）
thermaldynamics:servo:0, 伺服器
thermaldynamics:servo:1, 硬化伺服器
thermaldynamics:servo:2, 强化伺服器
thermaldynamics:servo:3, 信素伺服器
thermaldynamics:servo:4, 谐振伺服器
thermaldynamics:filter:0, 过滤器
thermaldynamics:filter:1, 硬化过滤器
thermaldynamics:filter:2, 强化过滤器
thermaldynamics:filter:3, 信素过滤器
thermaldynamics:filter:4, 谐振过滤器
thermaldynamics:retriever:0, 检索器
thermaldynamics:retriever:1, 硬化检索器
thermaldynamics:retriever:2, 强化检索器
thermaldynamics:retriever:3, 信素检索器
thermaldynamics:retriever:4, 谐振检索器
thermaldynamics:relay:0, 红石信号中继器
thermaldynamics:cover:0, 覆盖板：石头
thermaldynamics:cover:0, 覆盖板：花岗岩
thermaldynamics:cover:0, 覆盖板：磨制花岗岩
thermaldynamics:cover:0, 覆盖板：闪长岩
thermaldynamics:cover:0, 覆盖板：磨制闪长岩
thermaldynamics:cover:0, 覆盖板：安山岩
thermaldynamics:cover:0, 覆盖板：磨制安山岩
thermaldynamics:cover:0, 覆盖板：草方块
thermaldynamics:cover:0, 覆盖板：泥土
thermaldynamics:cover:0, 覆盖板：砂土
thermaldynamics:cover:0, 覆盖板：灰化土
thermaldynamics:cover:0, 覆盖板：圆石
thermaldynamics:cover:0, 覆盖板：橡木木板
thermaldynamics:cover:0, 覆盖板：云杉木板
thermaldynamics:cover:0, 覆盖板：白桦木板
thermaldynamics:cover:0, 覆盖板：丛林木板
thermaldynamics:cover:0, 覆盖板：金合欢木板
thermaldynamics:cover:0, 覆盖板：深色橡木木板
thermaldynamics:cover:0, 覆盖板：基岩
thermaldynamics:cover:0, 覆盖板：沙子
thermaldynamics:cover:0, 覆盖板：红沙
thermaldynamics:cover:0, 覆盖板：沙砾
thermaldynamics:cover:0, 覆盖板：金矿石
thermaldynamics:cover:0, 覆盖板：铁矿石
thermaldynamics:cover:0, 覆盖板：煤矿石
thermaldynamics:cover:0, 覆盖板：橡木
thermaldynamics:cover:0, 覆盖板：云杉木
thermaldynamics:cover:0, 覆盖板：白桦木
thermaldynamics:cover:0, 覆盖板：丛林木
thermaldynamics:cover:0, 覆盖板：橡树树叶
thermaldynamics:cover:0, 覆盖板：云杉树叶
thermaldynamics:cover:0, 覆盖板：白桦树叶
thermaldynamics:cover:0, 覆盖板：丛林树叶
thermaldynamics:cover:0, 覆盖板：海绵
thermaldynamics:cover:0, 覆盖板：湿海绵
thermaldynamics:cover:0, 覆盖板：玻璃
thermaldynamics:cover:0, 覆盖板：青金石矿石
thermaldynamics:cover:0, 覆盖板：青金石块
thermaldynamics:cover:0, 覆盖板：砂岩
thermaldynamics:cover:0, 覆盖板：錾制砂岩
thermaldynamics:cover:0, 覆盖板：平滑砂岩
thermaldynamics:cover:0, 覆盖板：白色羊毛
thermaldynamics:cover:0, 覆盖板：橙色羊毛
thermaldynamics:cover:0, 覆盖板：品红色羊毛
thermaldynamics:cover:0, 覆盖板：淡蓝色羊毛
thermaldynamics:cover:0, 覆盖板：黄色羊毛
thermaldynamics:cover:0, 覆盖板：黄绿色羊毛
thermaldynamics:cover:0, 覆盖板：粉红色羊毛
thermaldynamics:cover:0, 覆盖板：灰色羊毛
thermaldynamics:cover:0, 覆盖板：淡灰色羊毛
thermaldynamics:cover:0, 覆盖板：青色羊毛
thermaldynamics:cover:0, 覆盖板：紫色羊毛
thermaldynamics:cover:0, 覆盖板：蓝色羊毛
thermaldynamics:cover:0, 覆盖板：棕色羊毛
thermaldynamics:cover:0, 覆盖板：绿色羊毛
thermaldynamics:cover:0, 覆盖板：红色羊毛
thermaldynamics:cover:0, 覆盖板：黑色羊毛
thermaldynamics:cover:0, 覆盖板：金块
thermaldynamics:cover:0, 覆盖板：铁块
thermaldynamics:cover:0, 覆盖板：石台阶
thermaldynamics:cover:0, 覆盖板：砂岩台阶
thermaldynamics:cover:0, 覆盖板：圆石台阶
thermaldynamics:cover:0, 覆盖板：砖台阶
thermaldynamics:cover:0, 覆盖板：石砖台阶
thermaldynamics:cover:0, 覆盖板：地狱砖台阶
thermaldynamics:cover:0, 覆盖板：石英台阶
thermaldynamics:cover:0, 覆盖板：砖块
thermaldynamics:cover:0, 覆盖板：TNT
thermaldynamics:cover:0, 覆盖板：书架
thermaldynamics:cover:0, 覆盖板：苔石
thermaldynamics:cover:0, 覆盖板：黑曜石
thermaldynamics:cover:0, 覆盖板：橡木楼梯
thermaldynamics:cover:0, 覆盖板：钻石矿石
thermaldynamics:cover:0, 覆盖板：钻石块
thermaldynamics:cover:0, 覆盖板：工作台
thermaldynamics:cover:0, 覆盖板：圆石楼梯
thermaldynamics:cover:0, 覆盖板：红石矿石
thermaldynamics:cover:0, 覆盖板：冰
thermaldynamics:cover:0, 覆盖板：雪
thermaldynamics:cover:0, 覆盖板：仙人掌
thermaldynamics:cover:0, 覆盖板：粘土块
thermaldynamics:cover:0, 覆盖板：南瓜
thermaldynamics:cover:0, 覆盖板：地狱岩
thermaldynamics:cover:0, 覆盖板：灵魂沙
thermaldynamics:cover:0, 覆盖板：荧石
thermaldynamics:cover:0, 覆盖板：南瓜灯
thermaldynamics:cover:0, 覆盖板：白色染色玻璃
thermaldynamics:cover:0, 覆盖板：橙色染色玻璃
thermaldynamics:cover:0, 覆盖板：品红色染色玻璃
thermaldynamics:cover:0, 覆盖板：淡蓝色染色玻璃
thermaldynamics:cover:0, 覆盖板：黄色染色玻璃
thermaldynamics:cover:0, 覆盖板：黄绿色染色玻璃
thermaldynamics:cover:0, 覆盖板：粉红色染色玻璃
thermaldynamics:cover:0, 覆盖板：灰色染色玻璃
thermaldynamics:cover:0, 覆盖板：淡灰色染色玻璃
thermaldynamics:cover:0, 覆盖板：青色染色玻璃
thermaldynamics:cover:0, 覆盖板：紫色染色玻璃
thermaldynamics:cover:0, 覆盖板：蓝色染色玻璃
thermaldynamics:cover:0, 覆盖板：棕色染色玻璃
thermaldynamics:cover:0, 覆盖板：绿色染色玻璃
thermaldynamics:cover:0, 覆盖板：红色染色玻璃
thermaldynamics:cover:0, 覆盖板：黑色染色玻璃
thermaldynamics:cover:0, 覆盖板：石头怪物蛋
thermaldynamics:cover:0, 覆盖板：圆石怪物蛋
thermaldynamics:cover:0, 覆盖板：石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：苔石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：裂石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：錾制石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：石砖
thermaldynamics:cover:0, 覆盖板：苔石砖
thermaldynamics:cover:0, 覆盖板：裂石砖
thermaldynamics:cover:0, 覆盖板：錾制石砖
thermaldynamics:cover:0, 覆盖板：铁栏杆
thermaldynamics:cover:0, 覆盖板：玻璃板
thermaldynamics:cover:0, 覆盖板：西瓜
thermaldynamics:cover:0, 覆盖板：砖楼梯
thermaldynamics:cover:0, 覆盖板：石砖楼梯
thermaldynamics:cover:0, 覆盖板：菌丝
thermaldynamics:cover:0, 覆盖板：地狱砖
thermaldynamics:cover:0, 覆盖板：地狱砖楼梯
thermaldynamics:cover:0, 覆盖板：末地传送门
thermaldynamics:cover:0, 覆盖板：末地石
thermaldynamics:cover:0, 覆盖板：红石灯
thermaldynamics:cover:0, 覆盖板：橡木台阶
thermaldynamics:cover:0, 覆盖板：云杉木台阶
thermaldynamics:cover:0, 覆盖板：桦木台阶
thermaldynamics:cover:0, 覆盖板：丛林木台阶
thermaldynamics:cover:0, 覆盖板：金合欢木台阶
thermaldynamics:cover:0, 覆盖板：深色橡木台阶
thermaldynamics:cover:0, 覆盖板：砂岩楼梯
thermaldynamics:cover:0, 覆盖板：绿宝石矿石
thermaldynamics:cover:0, 覆盖板：绊线钩
thermaldynamics:cover:0, 覆盖板：绿宝石块
thermaldynamics:cover:0, 覆盖板：云杉木楼梯
thermaldynamics:cover:0, 覆盖板：桦木楼梯
thermaldynamics:cover:0, 覆盖板：丛林木楼梯
thermaldynamics:cover:0, 覆盖板：红石块
thermaldynamics:cover:0, 覆盖板：下界石英矿石
thermaldynamics:cover:0, 覆盖板：石英块
thermaldynamics:cover:0, 覆盖板：錾制石英块
thermaldynamics:cover:0, 覆盖板：竖纹石英块
thermaldynamics:cover:0, 覆盖板：石英楼梯
thermaldynamics:cover:0, 覆盖板：白色陶瓦
thermaldynamics:cover:0, 覆盖板：橙色陶瓦
thermaldynamics:cover:0, 覆盖板：品红色陶瓦
thermaldynamics:cover:0, 覆盖板：淡蓝色陶瓦
thermaldynamics:cover:0, 覆盖板：黄色陶瓦
thermaldynamics:cover:0, 覆盖板：黄绿色陶瓦
thermaldynamics:cover:0, 覆盖板：粉红色陶瓦
thermaldynamics:cover:0, 覆盖板：灰色陶瓦
thermaldynamics:cover:0, 覆盖板：淡灰色陶瓦
thermaldynamics:cover:0, 覆盖板：青色陶瓦
thermaldynamics:cover:0, 覆盖板：紫色陶瓦
thermaldynamics:cover:0, 覆盖板：蓝色陶瓦
thermaldynamics:cover:0, 覆盖板：棕色陶瓦
thermaldynamics:cover:0, 覆盖板：绿色陶瓦
thermaldynamics:cover:0, 覆盖板：红色陶瓦
thermaldynamics:cover:0, 覆盖板：黑色陶瓦
thermaldynamics:cover:0, 覆盖板：白色染色玻璃板
thermaldynamics:cover:0, 覆盖板：橙色染色玻璃板
thermaldynamics:cover:0, 覆盖板：品红色染色玻璃板
thermaldynamics:cover:0, 覆盖板：淡蓝色染色玻璃板
thermaldynamics:cover:0, 覆盖板：黄色染色玻璃板
thermaldynamics:cover:0, 覆盖板：黄绿色染色玻璃板
thermaldynamics:cover:0, 覆盖板：粉红色染色玻璃板
thermaldynamics:cover:0, 覆盖板：灰色染色玻璃板
thermaldynamics:cover:0, 覆盖板：淡灰色染色玻璃板
thermaldynamics:cover:0, 覆盖板：青色染色玻璃板
thermaldynamics:cover:0, 覆盖板：紫色染色玻璃板
thermaldynamics:cover:0, 覆盖板：蓝色染色玻璃板
thermaldynamics:cover:0, 覆盖板：棕色染色玻璃板
thermaldynamics:cover:0, 覆盖板：绿色染色玻璃板
thermaldynamics:cover:0, 覆盖板：红色染色玻璃板
thermaldynamics:cover:0, 覆盖板：黑色染色玻璃板
thermaldynamics:cover:0, 覆盖板：金合欢树叶
thermaldynamics:cover:0, 覆盖板：深色橡树树叶
thermaldynamics:cover:0, 覆盖板：金合欢木
thermaldynamics:cover:0, 覆盖板：深色橡木
thermaldynamics:cover:0, 覆盖板：金合欢木楼梯
thermaldynamics:cover:0, 覆盖板：深色橡木楼梯
thermaldynamics:cover:0, 覆盖板：粘液块
thermaldynamics:cover:0, 覆盖板：海晶石
thermaldynamics:cover:0, 覆盖板：海晶石砖
thermaldynamics:cover:0, 覆盖板：暗海晶石
thermaldynamics:cover:0, 覆盖板：海晶灯
thermaldynamics:cover:0, 覆盖板：干草块
thermaldynamics:cover:0, 覆盖板：陶瓦
thermaldynamics:cover:0, 覆盖板：煤炭块
thermaldynamics:cover:0, 覆盖板：浮冰
thermaldynamics:cover:0, 覆盖板：红砂岩
thermaldynamics:cover:0, 覆盖板：錾制红砂岩
thermaldynamics:cover:0, 覆盖板：平滑红砂岩
thermaldynamics:cover:0, 覆盖板：红砂岩楼梯
thermaldynamics:cover:0, 覆盖板：红砂岩台阶
thermaldynamics:cover:0, 覆盖板：紫珀块
thermaldynamics:cover:0, 覆盖板：竖纹紫珀块
thermaldynamics:cover:0, 覆盖板：紫珀楼梯
thermaldynamics:cover:0, 覆盖板：紫珀台阶
thermaldynamics:cover:0, 覆盖板：末地石砖
thermaldynamics:cover:0, 覆盖板：岩浆块
thermaldynamics:cover:0, 覆盖板：地狱疣块
thermaldynamics:cover:0, 覆盖板：红色地狱砖
thermaldynamics:cover:0, 覆盖板：骨块
thermaldynamics:cover:0, 覆盖板：侦测器
thermaldynamics:cover:0, 覆盖板：白色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：橙色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：品红色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：淡蓝色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：黄色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：黄绿色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：粉红色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：灰色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：淡灰色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：青色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：紫色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：蓝色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：棕色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：绿色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：红色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：黑色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：白色混凝土
thermaldynamics:cover:0, 覆盖板：橙色混凝土
thermaldynamics:cover:0, 覆盖板：品红色混凝土
thermaldynamics:cover:0, 覆盖板：淡蓝色混凝土
thermaldynamics:cover:0, 覆盖板：黄色混凝土
thermaldynamics:cover:0, 覆盖板：黄绿色混凝土
thermaldynamics:cover:0, 覆盖板：粉红色混凝土
thermaldynamics:cover:0, 覆盖板：灰色混凝土
thermaldynamics:cover:0, 覆盖板：淡灰色混凝土
thermaldynamics:cover:0, 覆盖板：青色混凝土
thermaldynamics:cover:0, 覆盖板：紫色混凝土
thermaldynamics:cover:0, 覆盖板：蓝色混凝土
thermaldynamics:cover:0, 覆盖板：棕色混凝土
thermaldynamics:cover:0, 覆盖板：绿色混凝土
thermaldynamics:cover:0, 覆盖板：红色混凝土
thermaldynamics:cover:0, 覆盖板：黑色混凝土
thermaldynamics:cover:0, 覆盖板：白色混凝土粉末
thermaldynamics:cover:0, 覆盖板：橙色混凝土粉末
thermaldynamics:cover:0, 覆盖板：品红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：淡蓝色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黄色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黄绿色混凝土粉末
thermaldynamics:cover:0, 覆盖板：粉红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：灰色混凝土粉末
thermaldynamics:cover:0, 覆盖板：淡灰色混凝土粉末
thermaldynamics:cover:0, 覆盖板：青色混凝土粉末
thermaldynamics:cover:0, 覆盖板：紫色混凝土粉末
thermaldynamics:cover:0, 覆盖板：蓝色混凝土粉末
thermaldynamics:cover:0, 覆盖板：棕色混凝土粉末
thermaldynamics:cover:0, 覆盖板：绿色混凝土粉末
thermaldynamics:cover:0, 覆盖板：红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黑色混凝土粉末
thermaldynamics:cover:0, 覆盖板：玄武岩
thermaldynamics:cover:0, 覆盖板：铜矿石
thermaldynamics:cover:0, 覆盖板：铅矿石
thermaldynamics:cover:0, 覆盖板：锡矿石
thermaldynamics:cover:0, 覆盖板：铀矿石
thermaldynamics:cover:0, 覆盖板：青铜块
thermaldynamics:cover:0, 覆盖板：铜块
thermaldynamics:cover:0, 覆盖板：铅块
thermaldynamics:cover:0, 覆盖板：钢块
thermaldynamics:cover:0, 覆盖板：锡块
thermaldynamics:cover:0, 覆盖板：铀块
thermaldynamics:cover:0, 覆盖板：防爆石
thermaldynamics:cover:0, 覆盖板：基础机械外壳
thermaldynamics:cover:0, 覆盖板：高级机械外壳
thermaldynamics:cover:0, 覆盖板：核反应堆压力容器
thermaldynamics:cover:0, 覆盖板：银块
thermaldynamics:cover:0, 覆盖板：橡胶树树叶
thermaldynamics:cover:0, 覆盖板：橡胶树原木
thermaldynamics:cover:0, 覆盖板：橡胶树树苗
thermaldynamics:cover:0, 覆盖板：脚手架
thermaldynamics:cover:0, 覆盖板：强化脚手架
thermaldynamics:cover:0, 覆盖板：铁质脚手架
thermaldynamics:cover:0, 覆盖板：强化铁质脚手架
thermaldynamics:cover:0, 覆盖板：铁栅栏
thermaldynamics:cover:0, 覆盖板：树脂垫
thermaldynamics:cover:0, 覆盖板：橡胶垫
thermaldynamics:cover:0, 覆盖板：羊毛垫
thermaldynamics:cover:0, 覆盖板：防爆玻璃
thermaldynamics:cover:0, 覆盖板：建筑泡沫
thermaldynamics:cover:0, 覆盖板：强化建筑泡沫
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（黑色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（蓝色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（棕色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（青色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（灰色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（绿色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（淡蓝色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（淡灰色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（黄绿色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（品红色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（橙色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（粉红色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（紫色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（红色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（白色）
